Country,Refugee Count,Population,Area (km2),GDP,GDP per capita,Pop per refugee,Refugee per Population,GDP per Refugee
Turkey,2724937,79463663,783356,1.67E+12,2.10E+04,29.16,3.43%,6.11E+05
Iraq,2095000,37056169,437072,5.23E+11,1.41E+04,17.69,5.65%,2.49E+05
Lebanon,1500000,6184701,10452,8.11E+10,1.31E+04,4.12,24.25%,5.41E+04
Jordan,1265000,9710752,89341,8.30E+10,8.55E+03,7.68,13.03%,6.56E+04
Germany,600000,82175700,357168,3.84E+12,4.68E+04,136.96,0.73%,6.40E+06
Saudi Arabia,420000,30770375,2149690,1.68E+12,5.47E+04,73.26,1.36%,4.01E+06
Serbia,313314,7041599,88361,1.00E+11,1.42E+04,22.47,4.45%,3.20E+05
United Arab Emirates,242000,9581000,83600,6.48E+11,6.76E+04,39.59,2.53%,2.68E+06
Kuwait,155000,4348395,17820,3.01E+11,6.93E+04,28.05,3.56%,1.94E+06
Egypt,117702,91640000,1010407,1.05E+12,1.14E+04,778.58,0.13%,8.90E+06
Sweden,110333,9906331,450295,5.17E+11,5.21E+04,89.79,1.11%,4.68E+06
Hungary,72505,9855571,93030,2.65E+11,2.69E+04,135.93,0.74%,3.66E+06
Croatia,55000,4190700,56594,9.70E+10,2.32E+04,76.19,1.31%,1.76E+06
Greece,54574,10955000,131957,2.87E+11,2.62E+04,200.74,0.50%,5.26E+06
Algeria,43000,40400000,2381741,6.00E+11,1.48E+04,939.53,0.11%,1.39E+07
Qatar,40000,2545603,11586,3.34E+11,1.31E+05,63.64,1.57%,8.35E+06
Austria,39131,8725931,83879,4.13E+11,4.74E+04,222.99,0.45%,1.06E+07
Canada,34183,36155487,9984670,1.67E+12,4.62E+04,"1,057.70",0.09%,4.89E+07
Netherlands,31963,17000059,41543,8.56E+11,5.04E+04,531.87,0.19%,2.68E+07
Libya,26672,6411776,1759541,9.16E+10,1.43E+04,240.39,0.42%,3.43E+06
Denmark,19433,5707251,42925,2.65E+11,4.65E+04,293.69,0.34%,1.37E+07
Bulgaria,17527,7202198,110994,1.41E+11,1.96E+04,410.92,0.24%,8.07E+06
Armenia,17000,2998600,29743,2.53E+10,8.44E+03,176.39,0.57%,1.49E+06
Belgium,15951,11250585,30528,4.95E+11,4.40E+04,705.32,0.14%,3.10E+07
Norway,13993,5214900,385178,3.74E+11,7.17E+04,372.68,0.27%,2.67E+07
Singapore,13856,5535000,719,4.53E+11,8.18E+04,399.47,0.25%,3.27E+07
Switzerland,12931,8341000,41285,4.93E+11,5.91E+04,645.04,0.16%,3.81E+07
France,11694,66736000,643801,2.65E+12,3.97E+04,"5,706.86",0.02%,2.26E+08
United Kingdom,9467,65110000,242495,2.68E+12,4.11E+04,"6,877.57",0.01%,2.83E+08
Brazil,9000,205338000,8515767,3.10E+12,1.51E+04,"22,815.33",0.00%,3.45E+08
Spain,8365,46423064,505990,1.67E+12,3.61E+04,"5,549.68",0.02%,2.00E+08
United States,7123,324099593,9833517,1.86E+13,5.73E+04,"45,500.43",0.00%,2.61E+09
Russia,5000,144192450,17075000,3.69E+12,2.56E+04,"28,838.49",0.00%,7.37E+08
Malaysia,5000,31183000,330803,8.00E+11,2.57E+04,"6,236.60",0.02%,1.60E+08
Australia,4500,24180200,7692024,1.14E+12,4.70E+04,"5,373.38",0.02%,2.53E+08
Tunisia,4000,10982754,163610,1.29E+11,1.18E+04,"2,745.69",0.04%,3.23E+07
Bahrain,3500,1378000,765,3.49E+10,2.53E+04,393.71,0.25%,9.97E+06
Montenegro,2975,676872,13812,1.04E+10,1.54E+04,227.52,0.44%,3.51E+06
Italy,2538,60674003,301338,2.21E+12,3.65E+04,"23,906.23",0.00%,8.72E+08
Romania,2525,21504260,238391,4.35E+11,2.02E+04,"8,516.54",0.01%,1.72E+08
Macedonia,2150,2069162,25173,3.04E+10,1.47E+04,962.40,0.10%,1.41E+07
Somalia,1312,10816143,637657,5.90E+09,5.45E+02,"8,244.01",0.01%,4.49E+06
Malta,1222,445426,316,1.41E+10,3.17E+04,364.51,0.27%,1.16E+07
Finland,1127,5488543,338424,2.35E+11,4.27E+04,"4,870.05",0.02%,2.08E+08
